iter	Passed	Remaining
709	3036	1240
710	3038	1235
711	3041	1230
712	30714	3036713	30715	3038714	30716	3041715	30717	3055	1200
718	3057	1194
719	3059	1189
720	3062	1185
721	3065	1180
722	3068	1175
723	3070	1170
724	3073	1165
725	3075	1160
726	3077	1155
727	3079	1150
728	3081	1145
729	3086	1141
730	3088	1136
731	3092	1132
732	3094	1127
733	3096	1122
734	3098	1117
735	3100	1112
736	3104	1107
737	3106	1102
738	3109	1098
739	3111	1093
740	3113	1088
741	3116	1083
742	3118	1078
743	3120	1073
744	3122	1068
745	3125	1064
746	3127	1059
747	3129	1054
748	3132	1049
749	3134	1044
750	3137	1040
751	3140	1035
752	3142	1030
753	3145	1026
754	3147	1021
755	3150	1016
756	3152	1012
757	3155	1007
758	3157	1002
759	3160	998
760	3163	993
761	3165	988
762	3168	761	3184	994
762	3187	989
763	3189	985
764	3191	980
765	3194	975
766	3196	971
767	3199	966
768	3201	961
769	3203	956
770	772	3207	942
773	3210	937
774	3212	932
775	3215	928
776	3217	923
777	3220	919
778	3222	914
779	3225	909
780	3228	905
781	3232	901
782	3235	896
783	3239	892
784	3241	887
785	3244	883
786	3246	878
787	3248	874
788	3251	869
789	3253	864
790	3255	860
791	3258	855
792	3260	851
793	3262	846
794	3264	841
795	3283	841
796	3286	836
797	3288	832
798	3290	827
799	3292	823
800	3294	818
801	3296	813
802	3314	813
803	3317	808
804	3319	804
805	3322	799
806	3330	796
807	3333	792
808	3336	787
809	3341	783
810	3345	779
811	3348	775
812	3350	770
813	3354	766
814	3356	761
815	3359	757
816	3361	753
817	3364	748
818	3366	744
819	3369	739
820	3371	735
821	3373	730
822	3377	726
823	3380	722
824	3383	823	3399	726
824	3402	721
825	3405	717
826	3407	712
827	829	3407	697
830	3410	693
831	3414	689
832	3416	684
833	3418	680
834	3420	675
835	3423	671
836	3426	667
837	3428	662
838	3431	658
839	3437	654
840	3440	650
841	3442	840	3458	653
841	3461	649
842	3463	644
843	3465	640
844	3473	637
845	3475	632
846	3477	628
847	3480	623
848	3482	619
849	3484	614
850	3487	610
851	3489	606
852	3492	601
853	3494	597
854	3496	593
855	3498	588
856	858	3496	857	859	3513	858	3521	578
859	861	3517	860	862	3520	861	863	3522	862	864	3524	863	865	3527	864	866	3530	865	867	3533	866	868	3535	867	869	3538	868	870	3540	869	871	3544	870	872	3546	871	873	3559	513
874	3561	508
875	3564	504
876	3566	500
877	3569	495
878	3571	491
879	3573	487
880	3577	483
881	3590	480
882	3592	476
883	3595	471
884	3597	467
885	3599	463
886	3602	458
887	3605	454
888	3607	450
889	3610	446
890	3612	441
891	3614	437
892	3617	433
893	3619	429
894	3622	425
895	3625	420
896	3628	416
897	3630	412
898	3632	408
899	3634	403
900	3637	399
901	3641	395
902	3643	391
903	3645	387
904	3647	382
905	3650	378
906	3653	374
907	3655	370
908	3657	366
909	3660	362
910	3663	357
911	3665	910	3674	358
911	3676	354
912	3688	351
913	3691	347
914	3704	344
915	3706	339
916	3709	335
917	3719	332
918	3721	328
919	3723	323
920	3725	319
921	3727	315
922	3730	311
923	3732	306
924	3734	302
